Крок Мадам	Не понятно почему такой разный рейтинг у крок-мадам и крок-месье - разница только в наличии яйца. И с яйцом, на мой взгляд вкуснее и интереснее. Очень понравилось. Привезли достаточно теплым,  что лично меня вполне устраивает.
Борщ вегетарианский	Не очень, жидкий, на всю порцию одна фасолина
Котлета из щуки (2 шт.) с картофельным пюре	Гадость… серый фарш непонятно из чего. Изжога замучала потом
Большая порция сырников с малиной	Вкус отличный,но сделайте что то с консистенцией - разваливаются на вилке ,не успеваешь их до рта донести.По ощущениям ,как будто поел теплую творожную массу,а не сырники .
Сырники творожные со сметаной	Сырники вкусные, нежные, привезли горячими в термопакете
Колбаска «Баварская» (1 шт.) на шпажке с картофельным пюре	Вкусно
Говядина в черносливе с гречкой	Кость из сливы попалась. Аккуратней
Блинчики с курицей и сметаной 	Отвратительно.Испортили вкусные блинчики.
Деревенский завтрак	Идеальный сытный завтрак, только верните, пожалуйста, сосиски с сыром вместо этой колбасы
Кукуруза гриль с сырным соусом	Просто вареная кукуруза, приправили дымком и выставляют за гриль).Не советую, вкусный только соус. Привезли холодным
Круассан с лососем и сливочным сыром	очень вкусно, спасибо, что без чеснока, который портит 90% блюд вкусила ((
Паста «Фетучини» с индейкой и грибами в сливочно-томатном соусе	Очень вкусно, но единственная проблема. Блювала дальше куда видела, очень сильно отравилась. Никому не советую брать это блюдо, вкус не стоит тех мучений, которых я испытала
Сырники творожные со сметаной	Сырники восхитительные- нежные, мягкие, в меру сладкие!!!😋😋😋😋😋 привезли тёплыми, сметана в отдельной баночке, ничего не разлилось!! Вкуснота необыкновенная!!!👍👍👍👍👍 спасибо большое ВВ!!
Блинчики «Рататуй»	Очень вкусный!
ПАПА Бургер	Салата из капусты, моркови, кукурузы и кабачков очень много. Теряется вкус мяса и соуса. Если убрать салат, будет на четверку с натягом.
Блинчики с вареной сгущенкой	Бомба
Лагман с говядиной, 320 г	Обычно привозят вкусный суп, но сегодня привезли тухлый, пришлось вылить
Борщ с мраморной говядиной	Вода розовая соленая.Больше не куплю.Отрава.
Хот-Дог Суздальский	Не очень вкусно , колбаска не подходит !
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	Как бизнес ланч нормально , НО упаковка не вскрываемая , пришлось искать железный нож срезать пленку с контейнеров , в следующий раз воспользуюсь конкурентами .
Омлет с брокколи	Недавно был подгоревший с одного края
